programme_name_corecat,programme_name_pes,programme_name_sales,genre,subgenre,synopsis,pes_views,revenue
Save Money: Good Diet,Save Money: Good Diet,,Factual,Documentary,Which diet is the best value for money? We look at the biggest selling diets in Britain today and find out if the pounds spent are worth the pounds lost.,102802,
Fishing Impossible,Fishing Impossible,,Factual,Documentary,"Fishing Impossible is a Factual Entertainment Series that follows three obsessive fishing buddies as they hatch plans for the weirdest, most extreme fishing trips.",1,
Save Money: Lose Weight,Save Money: Lose Weight,,Factual,Documentary,Factual series. Presenters Dr Ranj Singh and Sian Williams are on a mission to teach the nation how to eat healthily to lose weight - all without spending a fortune. Which diet will top the Save Money: Lose Weight value for money leader board?,244437,
Prince Charles: Inside the Duchy of Cornwall,Prince Charles: Inside the Duchy of Cornwall,,Factual,Documentary,"Two-part landmark observational documentary with privileged access to Prince Charles and his private domain, the Duchy of Cornwall.",264974,
The Billion Dollar Chicken Shop,,THE BILLION DOLLAR CHICKEN SHOP,Factual,Documentary,"Documentary series exploring the fast food industry with exclusive and unprecedented access to KFC, the oldest and most recognisable fried chicken shop chain in the country.",,17256.94
How To Find Love Online,,HOW TO FIND LOVE ONLINE,Factual,Documentary,"Dawn O’Porter follows the ups and downs of 25 single people trying online dating for the first time. She meets experts, hears stories from experienced daters and reveals the results of an in-depth survey of British online daters.",,9329.35
Queen of the World,Queen of the World,,Factual,Documentary,"An unprecedented and exclusive portrait of the longest serving, most respected Head of State in the world today.",188442,
By Royal Appointment,By Royal Appointment,,Factual,Documentary,,8596,
The Best Little Prison in Britain?,The Best Little Prison in Britain?,,Factual,Documentary,"With access all areas, from sentencing to rehabilitation, parole and probation, this series opens the doors on Jurby Prison on the Isle of Man. In this very unique institution we meet the men, women and juveniles all held in the same place.",263136,
The Mountain,The Mountain,,Factual,Documentary,"Documentary series following the lives of the people who live and work in the shadow of Mount Snowdon, one of the busiest mountains in the world.",86045,
Curvy Girls on the Catwalk,,CURVY GIRLS ON THE CATWALK,Factual,Documentary,"In this uplifting series packed with larger-than-life characters and lots of celebratory flesh-flashing, we go behind the scenes at one of the UK's leading plus-sized modelling agencies as they hunt for their next big superstar.",,30823.83
Blenheim Palace,,BLENHEIM PALACE,Factual,Documentary,Fly-on-the-wall documentary series covering a year in the life of Blenheim Palace. Follows the Duke and Duchess of Marlborough at home in the palace and on official engagements on their estate.,,4650.0
Inside the Crown: Secrets of the Royals,Inside the Crown: Secrets of the Royals,,Factual,Documentary,Landmark series revealing how the Queen has navigated the sometimes turbulent last seven decades of her record-breaking reign.,296542,
Alex Polizzi: My Hotel Nightmare,,ALEX POLIZZI: MY HOTEL NIGHTMARE,Factual,Documentary,"An observational miniseries following Alex Polizzi and her mother Olga as they remodel a historic Grade II listed building in the Sussex Downs, in a bid to give guests more space, more luxury - and to almost double the price charged per night.",,34638.0
World's Most Dangerous Places,,WORLD'S MOST DANGEROUS PLACES,Factual,Documentary,,,41.14
Advertorial: Keeping the Nation Connected with Top Tips on Tech from BT & ITV,Advertorial: Keeping the Nation Connected with Top Tips on Tech from BT & ITV,,Factual,Documentary,"Clare Balding, Fearne Cotton and Jake Humphrey feature in this series of bite-sized educational tech tutorials created by BT and ITV which are aimed at giving you and your family the digital skills to stay connected at this time.",7511,
Superhospital,,SUPERHOSPITAL,Factual,Documentary,"Documentary series set in the Royal Derby Hospital, focusing on the staff who work there.",,18050.21
100 Year Old Driving School,100 Year Old Driving School,,Factual,Documentary,100 Year Old Driving School.,78471,
Morecambe and Wise Forever,Morecambe and Wise Forever,,Arts,Documentary,"A documentary celebrating the life and work of the biggest and best loved double act Britain has ever known, Morecambe and Wise.",20531,
Extreme Salvage Squad,Extreme Salvage Squad,,Factual,Documentary,Aussie Salvage Squad is an Australian factual television series which explores the world of marine salvage and rescue in Australia.,34010,
Extraordinary Twins,Extraordinary Twins,EXTRAORDINARY TWINS,Factual,Documentary,"Following families with conjoined twins, and discovering how each set of parents cope with the challenges that having conjoined twins bring them.",115060,127450.0
A Profile of...,,A PROFILE OF...,Arts,Documentary,"A perfect accompaniment to classic movies, these engaging documentaries are truly part of film-making heritage. Featuring interviews, anecdotes and reflections on a film's impact over the years.",,1401.3500000000001
Yorkshire Airport,Yorkshire Airport,YORKSHIRE AIRPORT,Factual,Documentary,Yorkshire Airport follows the remarkable stories and characters at the heart of Leeds Bradford Airport as it attempts to reinvent itself as one of Britain's most successful regional airports.,200423,52959.74
The Duke and I,,THE DUKE AND I,Factual,Documentary,Two-part documentary taking a heartfelt look at the impact the Duke of Edinburgh has had on ordinary individuals up and down the country,,54636.0
The Monarchy,,THE MONARCHY,Factual,Documentary,"They are the world's most famous family. This searching look into the public and private lives of the British royals offers a revealing insight into how the monarchy works, how it has evolved, and the challenges it faces now and in the future.",,12464.01
Building Giants,,BUILDING GIANTS,Factual,Documentary,This landmark action and CGI driven series reveals the extraordinary innovations that help record breaking superstructures to be built and uncovers the inner secrets of how they work.,,1403775.5799999998
The Gettys: A Tragedy of Riches,,THE GETTYS: A TRAGEDY OF RICHES,Factual,Documentary,"A powerful account of the Getty dynasty, tormented by its own wealth and blighted by tragedy. Driven by his obsession to prove his dying father was wrong to assume that he could not run the family oil business.",,152.59
Hatton Garden,Hatton Garden,HATTON GARDEN,Drama,Documentary,"A factual drama about the Hatton Garden Diamond Heist, one of the most prolific and audacious robberies in recent history; about the gang that planned and carried out the heist and the subsequent investigation that caught them.",829008,1224602.0099999998
Isolation Stories,Isolation Stories,ISOLATION STORIES,Drama,Documentary,Four short dramas depicting life in lockdown and what families are going through after weeks of isolation.,523493,163568.51
Rembrandt,,REMBRANDT,Arts,Documentary,"Kenneth Clark looks at Rembrandt's career as an artist, from his formative days of youth to becoming the foremost painter of his day.",,989.03000000000009
Judi Dench's Wild Borneo Adventure,Judi Dench's Wild Borneo Adventure,JUDI DENCH'S WILD BORNEO ADVENTURE,Factual,Documentary,"National treasure Dame Judi Dench embarks on a wild adventure to Borneo to explore one of the oldest and most spectacular rainforests, meet its enchanting animals and get a vivid insight into the importance of this rainforest to life on our planet.",138263,63581.56
Car Wars,,CAR WARS,Factual,Documentary,Documentary joining Police forces in the UK in their fight to beat criminals in cars.,,9588.48
"Sun, Sea and Surgery",,"SUN, SEA AND SURGERY",Factual,Documentary,,,55192.0
And Finally... With Trevor McDonald,And Finally... With Trevor McDonald,,Factual,Documentary,Britain's greatest ever newsreader Sir Trevor McDonald presents his favourite trademark 'And Finally...' news stories from across his 30-year career at ITN.,62833,
Shakespeare Uncovered,,SHAKESPEARE UNCOVERED,Arts,Documentary,,,37126.470000000008
The Perfectionists,,THE PERFECTIONISTS,Factual,Documentary,"Documentary series following Rolls-Royce and Boodles, showing the amazing lengths they go to as they make the world's finest products.",,2280.17
Caught on Camera,Caught on Camera,,Factual,Documentary,"The dramatic rescues and escapes featured in this series are not reconstructions but are amazing real-life events and experiences captured on video by eyewitnesses, just as they happened.",364707,
Flights From Hell: Caught on Camera,Flights From Hell: Caught on Camera,,Factual,Documentary,"Another series of Caught on Camera, this time looking at Flights from Hell, featuring a vast number of incredible clips as well as the amazing tales behind the footage, from the people who did the filming and were at the centre of the stories.",94423,
A Year in the Beacons,A Year in the Beacons,,Factual,Documentary,Series showing the beauty of the Brecon Beacons National Park through the changing seasons and the eyes of those who live and work there.,40921,
Hollywood,,HOLLYWOOD,Entertainment,Documentary,Series of documentaries exploring what makes Hollywood the glamour capital of the world.,,6.93
Une Belle Histoire,,UNE BELLE HISTOIRE,Drama,Documentary,,,20278.91
World in Action,,WORLD IN ACTION,Factual,Documentary,"Long-running investigative current affairs series (1963-1998) famous for its hard-hitting, campaigning journalism. Winner of numerous awards, in its heyday World In Action drew audiences of up to 23 million in Britain alone - half the population.",,11924.0
Animal SOS,,ANIMAL SOS,Factual,Documentary,,,5000.0
Women Who Kill,,WOMEN WHO KILL,Factual,Documentary,"Documentary about women who have been incarcerated in the USA, including interviews from the women, their families and people involved.",,361619.64
Secrets of the Driving Test,Secrets of the Driving Test,,Factual,Documentary,The UK driving test underwent far-reaching changes in December 2018.  With unique access to the  test and examiners this programme follows some of the candidates taking their test.,135434,
Hospital Special: Fighting Covid-19,,HOSPITAL SPECIAL: FIGHTING COVID-19,Factual,Documentary,A special two-part edition of the award-winning programme called Hospital: Fighting COVID-19 showcased the heroic efforts of staff at Barnet Hospital and the Royal Free Hospital and the experience of the patients we have been treating.,,17496.75
Hoard Hunters,,HOARD HUNTERS,Factual,Documentary,,,8328.0
Look at Life,,LOOK AT LIFE,Factual,Documentary,"A series of short documentary films produced in the 1960s by the Special Features Division of the Rank Organisation. Light in style, they depict aspects of life in Britain at that time, especially the so called 'swinging' Britain era.",,16667.43
Great Art,Great Art,,Factual,Documentary,Five-part series exploring the life and work of the world's most celebrated artists.,88891,
Save Money: Good Health,Save Money: Good Health,,Factual,Documentary,The show with advice on how best to spend money on health and wellbeing. What are the fads and what really works? Presenters Sian Williams and Dr Ranj Singh investigate.,101748,
Million Pound Pawn,Million Pound Pawn,MILLION POUND PAWN,Factual,Documentary,"As the country faces unprecedented financial uncertainty, the series aims to reveal the emotional and financial stakes at play in the hidden world of pawnbroking.",129047,204630.0
Baby Hospital - S1,,BABY HOSPITAL - S1,Factual,Documentary,,,0.0
Inside the Ritz Hotel,Inside the Ritz Hotel,,Factual,Documentary,"With people spending less and more luxury hotels opening their doors, how does one of the most traditional hotels in the world stand out from the rest?",291508,
Inside Britain's Food Factories,Inside Britain's Food Factories,,Factual,Documentary,We go behind the scenes at some of Britain's most iconic food factories to discover how they keep the shelves stocked and put food on our tables.,133115,
For Real: The Story of Reality TV,For Real: The Story of Reality TV,,Factual,Documentary,Delving into the origins and history of reality TV.,7042,
The Island Strait,The Island Strait,,Factual,Documentary,"Documentary series following a year in the life of The Menai Strait, which separates the isle of Anglesey from mainland Wales.  This series will capture the beauty of four seasons and follow the lives of the men and women who live here.",31883,
Cliveden - A Very British Country House Hotel,,CLIVEDEN - A VERY BRITISH COUNTRY HOUSE HOTEL,Factual,Documentary,,,276332.0
Network First,,NETWORK FIRST,Factual,Documentary,"ITV's wide-ranging documentary strand (1994-1997). One-off programmes covering various subjects such as biography, history, and science.",,3911.0299999999997
Against the Odds,Against the Odds,,Sport,Documentary,A documentary series telling inspirational stories from the world of sport.,28639,
Gordon Ramsay on Cocaine,Gordon Ramsay on Cocaine,,Factual,Documentary,"Drugs and substance abuse have always been a part of Gordon Ramsay's life. In this series, Gordon sets out to show how deep the problem is, in Britain as a whole and in the kitchens, food and hospitality industry in the UK.",669362,
Hospital,,HOSPITAL,Factual,Documentary,Factual documentary series on the NHS which goes behind the scenes of some of the busiest and largest hospitals in the UK.,,632873.63
Evo Car of the Year 2020,Evo Car of the Year 2020,,Sport,Motor Sport,The show features a team of eight journalists as they test 20 of the world's best cars to decide which one is car of the year.,11297,
TT Classic Highlights Show,TT Classic Highlights Show,,Sport,Motor Sport,"Highlights the annual Isle-of-Man-based festival, which is a celebration of motorcycling past and present. Ear-splitting classic motor bikes ridden by some of the greatest road racers will reverberate around the iconic TT Mountain Course.",23105,
Goodwood Members' Meeting,Goodwood Members' Meeting,,Sport,Motor Sport,"All the action from the Members' Meeting, a world-class motorsport meeting featuring high-speed track demonstrations and scintillating races.",14412,
Extreme E: Electric Odyssey,Extreme E: Electric Odyssey,,Sport,Motor Sport,Electric Odyssey provides an insight into the season of Extreme E. This opener gets you up to speed with everything you need to know about this all-electric off-road racing.,15898,
Motorsport UK,Motorsport UK,,Sport,Motor Sport,Coverage of the most exciting motor sport from around Britain.,87810,
MotoGP Highlights,MotoGP Highlights,,Sport,Motor Sport,Two-wheel action with highlights from the MotoGP season.,118885,
Isle of Man TT,Isle of Man TT,,Sport,Motor Sport,"The world famous Isle of Man road race event with a guide to the circuit, and the riders who will negotiate the mountain circuit of over 37 miles.",303219,
Monaco Historique Highlights,Monaco Historique Highlights,,Sport,Motor Sport,Highlights of the Road Racing Series.,6511,
Extreme E: Adventure Awaits,Extreme E: Adventure Awaits,,Sport,Motor Sport,A chance to get you up to speed with everything you need to know about this revolutionary all-electric off-road racing series. This is motorsport like you've never seen before.,1567,
British Touring Car Championship,British Touring Car Championship,,Sport,Motor Sport,Coverage of Britain's most exciting and most talked about motor racing championship.,184875,
Extreme E,Extreme E,,Sport,Motor Sport,Extreme E brings electric racing to some of the most remote corners of the planet to highlight the climate change challenges faced by different ecosystem.,21398,
BRDC Formula 3 Championship Highlights,BRDC Formula 3 Championship Highlights,,Sport,Motor Sport,Highlights of the BRDC Formula 3 Championships.,50098,
The Unrideables 2: 500 GP: The Rainey Days,The Unrideables 2: 500 GP: The Rainey Days,,Factual,Motor Sport,A fascinating documentary recalling one of the scariest and greatest eras in motorcycle racing history and the legendary riders that rode the 500cc Grand Prix bikes.,31400,
British Touring Cars Qualifying,British Touring Cars Qualifying,,Sport,Motor Sport,Coverage of the British Touring Car Championship qualifying sessions.,13232,
British Touring Car Championship Highlights,British Touring Car Championship Highlights,,Sport,Motor Sport,Highlights of bumper-to-bumper racing from the British Touring Car Championship.,183060,
Extreme E Highlights,Extreme E Highlights,,Sport,Motor Sport,"A chance to catch up with the latest action from the action-packed electric racing series, featuring an all-star field of drivers.",6643,
MotoGP Live,MotoGP Live,,Sport,Motor Sport,All of the best action on two wheels from the action-packed racing series.,24739,
World Endurance Series,World Endurance Series,,Sport,Motor Sport,Highlights of all eight rounds of the World Endurance Racing Series.,7400,
Speed Freaks,Speed Freaks,,Entertainment,Motor Sport,"Ultra-speed bike racer and land speed records legend Zef Eisenberg is aiming to become the first person to drive a car at 200 mph on the Pendine Sands. To help, he has assembled a team of Speed Freaks who will push cars to the limits of performane.",23557,
BRDC British Formula 3 Championship (2020),BRDC British Formula 3 Championship (2020),,Sport,Motor Sport,"Action from the BRDC British Formula 3 Championship, the UK's premier single-seater category, and one of the most competitive racing series anywhere in the world.",9491,
Goodwood Members' Meeting Highlights,Goodwood Members' Meeting Highlights,,Sport,Motor Sport,"All the highlights from the Members' Meeting, a world-class motorsport meeting featuring high-speed track demonstrations and scintillating races.",23175,
Isle Of Man ETT Highlights,Isle Of Man ETT Highlights,,Sport,Motor Sport,Eight TT heroes are teamed up with gamers as they get to grips with a new challenge and tackle the familiar course from the comfort of their own homes.,5353,
Motorsport Mundial,Motorsport Mundial,,Sport,Motor Sport,"The latest motorsport news and action from around the globe. From Superbikes to Formula 1, Motorsport Mundial has it all.",4465,
Goodwood Revival Live,Goodwood Revival Live,,Sport,Motor Sport,"Julia Bradbury and David Green present all the day's biggest races from Goodwood, alongside racing expert Andrew Jordan and resident fashionista Caryn Franklin.",29418,
British Superbikes,British Superbikes,,Sport,Motor Sport,Coverage of the British Superbike Championship.,179274,
King of the Roads,King of the Roads,,Sport,Motor Sport,Highlights of the Road Racing Series.,93595,
British Superbike Championship Review,British Superbike Championship Review,,Sport,Motor Sport,James Whitham presents all the action as 32 riders set out to claim the Bennetts British Superbike Championship crown which carries worldwide recognition,23212,
Goodwood Revival,Goodwood Revival,,Sport,Motor Sport,The glory days of motor racing are re-lived as classic cars take to Goodwood Motor Circuit.,51563,
Walter,,WALTER,Drama,Social Drama,"Ian McKellen stars in three moving films about a mentally handicapped man, Walter, who is at the mercy of society’s unfeeling attitudes following the death of his parents.",,9.75
Deep Water,Deep Water,,Drama,Social Drama,"Based on Paula Daly's best selling novel, Windermere. The story follows three women as they each make life-changing mistakes regarding their children and husbands, which lead to unpredictable criminal consequences.",2044585,
Meisje Van Plezier,,MEISJE VAN PLEZIER,Drama,Social Drama,Dutch television series about a caring mother with a mischievous side who wants to be independent when her man betrayed her with her own sister.,,44608.0
Innocent,Innocent,,Drama,Social Drama,"People wrongly convicted of murder must try to rebuild their lives after their conviction is overturned, while the investigation into who really committed the crime is reopened.",3757145,
Cheat,Cheat,,Drama,Social Drama,"Tense drama set in the high-achieving world of academia, starring Katherine Kelly and Molly Windsor. When a student submits a suspiciously good essay, her lecturer confronts her and unwittingly sends her own life spiralling into chaos.",2133445,
Homefront,,HOMEFRONT,Drama,Social Drama,Series about the lives of the wives and a mother of soldiers serving in Afghanistan.,,66509.59
Grace,Grace,GRACE,Drama,Social Drama,Brighton-based Detective Superintendent Roy Grace is a hard-working police officer who gives his life to his job.,1006483,1928254.0
Girlfriends,Girlfriends,,Drama,Social Drama,"Girlfriends is a contemporary story of Linda, Sue and Gail as they struggle with the responsibilities and inevitable changes that come with being a modern woman of a certain age.",1037817,
The Virtues,,THE VIRTUES,Drama,Social Drama,"Written and directed by Shane Meadows, The Virtues is an emotionally charged drama that teeters on the edge of total self-destruction.",,112648.72
The Syndicate,The Syndicate,THE SYNDICATE,Drama,Social Drama,"Written by BAFTA award-winning writer Kay Mellor, each series of The Syndicate follows a different group of people whose lives are turned upside down when they jointly win big on the lottery.",199849,81351.66
The Holiday,The Holiday,,Drama,Social Drama,,4,
Titanic,Titanic,TITANIC,Drama,Social Drama,Titanic is a four part serial created by BAFTA-winning producer Nigel Stafford-Clark and written by Oscar and Emmy winner Julian Fellowes to mark the hundredth anniversary of the world's most famous maritime disaster in April 1912.,8863,16446.61
Breathless,,BREATHLESS,Drama,Social Drama,Drama series set in the 60s which follows a group of doctors working in a busy gynaecology unit at a London hospital. Abortion is still illegal and the contraceptive pill has only just become available.,,331999.9899999997
The Bletchley Circle,The Bletchley Circle,,Drama,Social Drama,"Four ordinary women with an extraordinary flair for code-breaking and razor-sharp intelligence skills are the focus of ITV’s new murder mystery drama, The Bletchley Circle.",257136,
Bouquet of Barbed Wire,,BOUQUET OF BARBED WIRE,Drama,Social Drama,"A powerful drama serial focusing on family relationships, emotional crisis and a tangled web of deceit.",,7086.8499999999958
Cottage To Let,,COTTAGE TO LET,Drama,Social Drama,"A romantic country cottage in Devon, within easy reach of the sea, provides the link for this series of six self-contained plays about the people who holiday there, and why. There is drama, humour, romance, tragedy and intrigue.",,18380.15
Liar,Liar,,Drama,Social Drama,"Laura Nielson, a teacher in the middle of a breakup, is set up on a date with widowed surgeon Andrew Earlham. However, the day after it is apparent that something has gone wrong, and the subsequent fallout spirals out of control.",4022376,
Personal Services,,PERSONAL SERVICES,Factual,Social Drama,Documentary series looking at the hidden side of Britain's sex industry.,,778.0
Mrs Biggs,Mrs Biggs,MRS BIGGS,Drama,Social Drama,"The Great Train Robbery made Ronnie Biggs a household name. It was love at first sight for Charmian and Ronnie and when forced to choose between her family and the man she loved, she chose Ronnie. An inspiring true story of passion and sacrifice.",17900,7502.5699999999979
The Seekers,,THE SEEKERS,Drama,Social Drama,"A 'series of fables' about three siblings who were put into care as children. Having grown up, they set out to find their parents.",,5263.11
The Voice Kids,The Voice Kids,THE VOICE KIDS,Entertainment,Talent Shows,Entertainment talent show searching for the best kids 'Voice' in the UK.,1476201,564000.0
The X Factor: Celebrity,The X Factor: Celebrity,,Entertainment,Talent Shows,The X Factor is back but not as we know it… The celebrity spin off features well known faces who dream of becoming superstar singers and fight for the chance to be crowned The X Factor 2019 Champion in The X Factor: Celebrity.,1398987,
The Voice US,The Voice US,THE VOICE US,Entertainment,Talent Shows,American version of the talent show in which aspiring singers compete to be named ‘The Voice’ and receive the grand prize of a recording contract.,42460,7918824.8000000017
Top Dog Model,,TOP DOG MODEL,Entertainment,Talent Shows,New reality series where dogs and their owners compete for a modelling contract with a major consumer brand.,,28373.75
Soapstar Superstar,,SOAPSTAR SUPERSTAR,Entertainment,Talent Shows,"From hot pot to hot pants. From the East End to the West End. And from the Woolpack to the Ratpack. Some of the UK's favourite soap stars face the music and each other, showcasing serious musical talent, to become a singing superstar.",,67757.26
Britain's Got Talent: Unseen,Britain's Got Talent: Unseen,,Entertainment,Talent Shows,Brand new Britain’s Got Talent: Unseen brings you never-before-seen auditions PLUS even more hilarious moments from the Judges and Ant & Dec!,479699,
The Next Great Magician,,THE NEXT GREAT MAGICIAN,Entertainment,Talent Shows,"A talent contest presented by Rochelle Humes and Stephen Mulhern. Magicians perform a mix of great illusions, comedy magic and close up magic, in competition to win their very own television special and become The Next Great Magician.",,3000.0
The Masked Dancer,The Masked Dancer,,Entertainment,Talent Shows,"TV's greatest guessing game is back - but this time they're dancing! Joel Dommett hosts, and is joined by panellists Jonathan Ross, Davina McCall, Mo Gilligan and Oti Mabuse.",478313,
Australian Princess,,AUSTRALIAN PRINCESS,Entertainment,Talent Shows,"Reality series where ordinary girls compete for the title of Australian Princess and over $100,000 worth of prizes.  Experts, lead by Paul Burrell former butler to Princess Diana, transform the Aussie girls into women of style, elegance and grace.",,62.599999999999994
The Voice Kids Brazil,,THE VOICE KIDS BRAZIL,Entertainment,Talent Shows,A Brazilian reality talent show based on the reality singing competition The Voice Kids.,,56000.0
The X Factor,The X Factor,,Entertainment,Talent Shows,Thousands audition. Only one can win. The search is on for the next singing Superstar.,3885101,
The Masked Singer US,The Masked Singer US,,Entertainment,Talent Shows,The Masked Singer is an American reality singing competition.,306889,
The Best of the Voice Worldwide,The Best of the Voice Worldwide,,Entertainment,Talent Shows,Compilation of the best moments from the many Worldwide versions of The Voice.,92531,
The Voice UK: Most Memorable Moments,The Voice UK: Most Memorable Moments,THE VOICE UK: MOST MEMORABLE MOMENTS,Entertainment,Talent Shows,The Voice UK's most memorable moments.,60099,24000.0
Little Big Shots,Little Big Shots,,Entertainment,Talent Shows,"Little Big Shots shines the spotlight on some of the world's most talented children. With no prizes at stake, no winners or losers, the youngsters show you don't have to be a grown-up to be a star performer. Hosted by Dawn French.",120925,
The Contender,The Contender,,Sport,Talent Shows,16 professional fighters compete in gruelling elimination-style fights to be crowned champion and take home the winner’s six-figure prize.,32168,
The X Factor: The Band,The X Factor: The Band,,Entertainment,Talent Shows,"Simon Cowell is looking for undiscovered talent to form the next big pop group and follow in the footsteps of One Direction, Fifth Harmony or Little Mix.",275965,
The Voice (Australia),,THE VOICE (AUSTRALIA),Entertainment,Talent Shows,Australian version of the talent show in which aspiring singers compete to be named ‘The Voice’ and receive the grand prize of a recording contract.,,220000.0
The Big Audition,The Big Audition,,Entertainment,Talent Shows,Factual entertainment series which goes behind the scenes of the casting world. We will witness real people cast for potentially life-changing jobs.,76752,
Britain's Got Talent: The Champions,Britain's Got Talent: The Champions,,Entertainment,Talent Shows,Britain's Got Talent: The Champions brings together the world's most talented and memorable acts from past series of Got Talent.,1026701,
The Voice,The Voice,THE VOICE,Entertainment,Talent Shows,Reality talent show The Voice provides a platform for aspiring singers to achieve their dreams and get their break in the music industry.,3787617,1494342.28
Planet's Got Talent,Planet's Got Talent,,Entertainment,Talent Shows,"Series which takes a look at the biggest reality shows on the planet. From around the globe, the show features some of the very best and worst acts that the world has to offer.",35460,
Martin & Roman's Weekend Best!,Martin & Roman's Weekend Best!,,Entertainment,Entertainment,"Martin and Roman Kemp will be filling your weekend mornings with fun chat, celebrity guests and light-hearted challenges.",137616,
Sooty,Sooty,,Childrens,Entertainment,"Children's comedy with puppets Sooty, Sweep and Soo.",288997,
Oddbods (Shorts),Oddbods (Shorts),,Childrens,Entertainment,Oddbods is a sketch-based series following the adventures of seven adorable characters.,38896,
Dare Master,Dare Master,,Childrens,Entertainment,"10 crazy dares equals 50 minutes of fun, original and inclusive television in CITV's 10-part series Dare Master. Teenage presenter Danny Murphy takes on crazy dares, from extreme window cleaning to bungee jumping. Presented in British Sign Language.",56134,
Lingo,Lingo,,Entertainment,Entertainment,Lingo is a quiz show hosted by Adil Ray where the simplest of words can win members of the public thousands of pounds.,193310,
Making it Home with Kortney & Kenny,Making it Home with Kortney & Kenny,,Entertainment,Entertainment,Reality series where homeowners are offered helped to transform their homes into something that works for them.,19555,
Gino's Italian Family Adventure,Gino's Italian Family Adventure,,Lifestyle,Entertainment,Gino D’Acampo takes his family on a personal adventure into the roots of his upbringing and his passion for food.,333408,
Fireball XL-5,,FIREBALL XL-5,Childrens,Entertainment,"Gerry Anderson's animated science fiction series for children follows the missions of spaceship Fireball XL5, commanded by Colonel Steve Zodiac of the World Space Patrol.",,93723.849999999962
Ainsley's Good Mood Food,Ainsley's Good Mood Food,,Lifestyle,Entertainment,"Join chef Ainsley Harriott in a celebration of delicious food that really boosts your mood! Ainsley will be cooking in his own happy places, in his kitchen and on the beach.",31818,
It's Clarkson on TV,It's Clarkson on TV,,Entertainment,Entertainment,"TV enthusiast and aficionado Jeremy Clarkson presents an honest, no-holds barred review of this year's TV offerings.",137682,
The TOWIE Years,The TOWIE Years,,Entertainment,Entertainment,The 10-part series will look back at some of the most memorable moments from the reality show.,212632,
Don't Rock The Boat,Don't Rock The Boat,DON'T ROCK THE BOAT,Entertainment,Entertainment,Freddie Flintoff and AJ Odudu take to the helm as 12 celebrities tackle one of television's toughest ever challenges - a race to row the length of Britain.,298230,1634.4
Bradley Walsh & Son: Breaking Dad The Unseen Show,Bradley Walsh & Son: Breaking Dad The Unseen Show,,Entertainment,Entertainment,Bradley Walsh is not interested in 'travelling the world' unlike son Barney. Now that Barney has turned 21 he's been badgering dad Brad to come with him on his coming of age road trip to the USA.,159656,
The Grimes,The Grimes,,Childrens,Entertainment,"Meet the Grimes: the world's filthiest family. Whatever they do, this loveable lot end up covered head to foot in dirt and grot and muck.",11584,
Jennifer Saunders' Memory Lane,Jennifer Saunders' Memory Lane,,Factual,Entertainment,"Jennifer Saunders slips behind the wheel of a classic red Jaguar E-Type for this special show, in which she is joined by Michael Sheen for a drive down memory lane.",62436,
Dino Dan,Dino Dan,,Childrens,Entertainment,Join paleontologist-in-training Dan Henderson as he takes kids on a Jurassic journey to the land where lizards were as long as three school buses and terrifying T-Rexs ruled.,5,
Mini Movies,Mini Movies,,Entertainment,Entertainment,"Mini Movies makes children and their families the stars of movie trailers. Families provide the footage and the Mini Movies team provide the effects; children might be chased by dinosaurs, fly like fairies and even set foot on other planets.",3851,
Drawers Off,,DRAWERS OFF,Entertainment,Entertainment,,,62860.0
I'm A Celebrity... The Daily Drop,I'm A Celebrity... The Daily Drop,,Entertainment,Entertainment,"Joining presenter Vick Hope each episode are a stellar panel of ex-campmates and celebrity superfans who will delve, debate and dissect all of the daily action from the camp.",406382,
The Haunted Hathaways,The Haunted Hathaways,,Childrens,Entertainment,"Comedy series. Michelle Hathaway and her two daughters, Taylor and Frankie, move to New Orleans. However the house they move to is already occupied by a family of ghosts!",74305,
Black History Month - The Bridge,Black History Month - The Bridge,,Factual,Entertainment,"A series of episodes that will each feature two influential figures, from different generations, in the same field taking part in a 1-2-1 conversation about their journey and experiences.",2191,
Supercar,,SUPERCAR,Childrens,Entertainment,"The fantastic exploits of Supercar, the world's only futuristic, multi-terrain vehicle travelling in search of adventure.",,79670.94
Darcy's Wild Life,,DARCY'S WILD LIFE,Childrens,Entertainment,"Pampered Darcy is in for a major culture shock when her movie star mum, Natalie Radford, decides to exchange the endless whirl of Hollywood premieres and parties for ranch-life in a tiny country town.",,1.43
Celebrity Karaoke Club,Celebrity Karaoke Club,,Entertainment,Entertainment,Seven celebrities head into a karaoke bar in the hope of winning this music competition. Who will impress their fellow contestants and who will be sent home?,236972,
Woof,,WOOF,Childrens,Entertainment,Award-winning children's adventure series featuring a young schoolboy who is like any other youngster - except for the fact that he keeps turning into a dog!,,500.0
Scrambled Specials,Scrambled Specials,,Childrens,Entertainment,Special themed episodes highlighting the presenters' favourite bits of the show and taking them to new extremes!,28744,
Pip Ahoy,Pip Ahoy,,Childrens,Entertainment,Animated show following the adventures of a puppy named Pip and his best friend a kitten named Alba.,66548,
The Full Treatment,The Full Treatment,,Entertainment,Entertainment,Kem and Amber give 6 celebs a treatment and talk mental wellbeing. Developed with CALM.,23797,
Scrambled!,Scrambled!,,Childrens,Entertainment,A mix of studio and location VTs that will wrap around CITV's current slate of acquisitions and original programmes. Bite size TV that will give the morning block a sense of personality and deepen the viewer's connection with CITV.,20,
